# 출처: https://datalaw.kr/mediation/ · 수집일 2026-09-11 · 개인정보분쟁조정위원회 공개 사례에서 기계 추출한 요약으로 정확성을 보증하지 않습니다. 근거로 쓰기 전에 위원회 원문을 확인하십시오 · 정정 요청: hyunsub.lee@seumlaw.com
연번,연도,구분,침해유형,제목,손해배상 금액,결론,판단 이유,인용 조문,원문,행 주소
384,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,업무 수행과정에서 개인정보를 열람·이용한 지방자치단체에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=735&VA=content,https://datalaw.kr/mediation/#m-735
385,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,회원정보를 열람하여 VIP 회원으로 가입시킨 화장품 판매 업체에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=734&VA=content,https://datalaw.kr/mediation/#m-734
386,2016,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,기존 배송정보를 새로운 배송 건에 이용한 택배회사에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=733&VA=content,https://datalaw.kr/mediation/#m-733
387,2016,조정결정사례,동의 없는 개인정보 수집,근태사항 확인을 위해 직원 배우자의 진단서를 수집한 보험 판매회사에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=732&VA=content,https://datalaw.kr/mediation/#m-732
388,2016,조정결정사례,동의 없는 개인정보 수집,민사소송 사건번호를 요구하여 보험금 지급심사에 이용한 보험회사에 대한 재발방지 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=731&VA=content,https://datalaw.kr/mediation/#m-731
389,2016,조정결정사례,동의 없는 개인정보 수집,환자 진료 시 환부 이외 신체사진을 촬영한 한의원에 대한 손해배상 등 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=730&VA=content,https://datalaw.kr/mediation/#m-730
390,2016,조정결정사례,동의 없는 개인정보 수집,인터넷을 검색하여 개인정보를 수집한 보험사에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=729&VA=content,https://datalaw.kr/mediation/#m-729
391,2016,조정결정사례,동의 없는 개인정보 수집,멤버십 카드를 운영하는 백화점에 대한 비밀번호 정책 시정 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=727&VA=content,https://datalaw.kr/mediation/#m-727
392,2016,조정결정사례,동의 없는 개인정보 수집,삭제 요청한 개인정보를 영업 목적으로 이용한 결혼정보업체에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=725&VA=content,https://datalaw.kr/mediation/#m-725
393,2015,조정결정사례,기타 개인정보 침해,정보주체의 동의 없이 성형 전·후 사진을 홍보책자에 게재한 성형외과의원에 대한 손해배상 요구,"10,000,000만원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=719&VA=content,https://datalaw.kr/mediation/#m-719
394,2015,조정결정사례,기타 개인정보 침해,주상복합건물 관리사무소 사무실 내 CCTV를 설치하여 운영한 사업자에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=718&VA=content,https://datalaw.kr/mediation/#m-718
395,2015,조정결정사례,기타 개인정보 침해,영업양수 시 개인정보 이전 사실을 고지하지 아니한 헤어샵에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=717&VA=content,https://datalaw.kr/mediation/#m-717
396,2015,조정결정사례,기타 개인정보 침해,영리목적의 광고성 정보 전송 시 ‘광고’ 표시의무를 위반한 온라인쇼핑몰에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=716&VA=content,https://datalaw.kr/mediation/#m-716
397,2015,조정결정사례,기타 개인정보 침해,영리목적의 광고성 정보 전송 시 ‘광고’ 표시의무를 위반한 정보통신서비스제공자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=715&VA=content,https://datalaw.kr/mediation/#m-715
398,2015,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,자격시험 응시생의 개인정보를 외부로 유출한 공공기관에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=714&VA=content,https://datalaw.kr/mediation/#m-714
399,2015,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보주체의 동의 없이 명예훼손 관련 CCTV영상정보를 제3자(입주자대표)에게 제공한 아파트관리사무소에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=713&VA=content,https://datalaw.kr/mediation/#m-713
400,2015,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,명의자 동의 없이 금융거래정보를 제3자에 제공한 금융기관에 대한 손해배상 요구,"10,000,000원",,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=712&VA=content,https://datalaw.kr/mediation/#m-712
401,2015,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 개인정보를 제3자에게 제공한 온라인상품 위탁판매회사 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=711&VA=content,https://datalaw.kr/mediation/#m-711
402,2015,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보파기를 요청한 이용자에게 광고성 문자를 보낸 개인정보처리자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=710&VA=content,https://datalaw.kr/mediation/#m-710
403,2015,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 개인정보를 영업목적으로 이용한 피부과의원에 대한 손해배상요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=709&VA=content,https://datalaw.kr/mediation/#m-709
404,2015,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 수집하여 영업목적으로 이용한 개인정보처리자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=708&VA=content,https://datalaw.kr/mediation/#m-708
405,2015,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 수집하여 영업목적으로 이용한 통신사업자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=707&VA=content,https://datalaw.kr/mediation/#m-707
406,2015,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 수집하여 영업목적으로 이용한 결혼정보업체에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=706&VA=content,https://datalaw.kr/mediation/#m-706
407,2015,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 수집하여 영업목적으로 이용한 외식기업에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=705&VA=content,https://datalaw.kr/mediation/#m-705
408,2015,조정결정사례,동의 없는 개인정보 수집,박람회를 통해 수집한 명함의 개인정보를 동의 없이 홍보 목적으로 이용한 솔루션 판매 업체에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=704&VA=content,https://datalaw.kr/mediation/#m-704
409,2015,조정결정사례,동의 없는 개인정보 수집,동의 없이 개인정보를 수집․이용하여 보험 상품에 가입시킨 보험회사에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=703&VA=content,https://datalaw.kr/mediation/#m-703
410,2015,조정결정사례,동의 없는 개인정보 수집,고객 동의 없이 자동이체 등록을 한 신용카드회사에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=702&VA=content,https://datalaw.kr/mediation/#m-702
411,2015,조정결정사례,동의 없는 개인정보 수집,인터넷 서비스 가입 문의 시 주민등록번호를 수집한 정보통신서비스제공자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=701&VA=content,https://datalaw.kr/mediation/#m-701
412,2015,조정결정사례,동의 없는 개인정보 수집,환자 보호자의 주민등록번호를 동의 없이 수집한 의료기관에 대한 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=700&VA=content,https://datalaw.kr/mediation/#m-700
413,2014,조정결정사례,기타 개인정보 침해,정보주체의 동의 없이 고객정보를 수탁업체에게 제공한 이동통신 사업자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=692&VA=content,https://datalaw.kr/mediation/#m-692
414,2014,조정결정사례,기타 개인정보 침해,"개인정보 제3자 제공 시, 동의절차를 위반한 아파트관리 사무소에 대한 손해배상 요구",,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=691&VA=content,https://datalaw.kr/mediation/#m-691
415,2014,조정결정사례,기타 개인정보 침해,성형 전·후 사진을 동의 없이 영업목적으로 이용한 성형외과 의원에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=690&VA=content,https://datalaw.kr/mediation/#m-690
416,2014,조정결정사례,기타 개인정보 침해,동의 없이 개인 위치정보를 이용하여 문자 메시지를 발송한 이동통신사업자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=689&VA=content,https://datalaw.kr/mediation/#m-689
417,2014,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인신용정보 제공 ․ 이용 동의 철회 요청을 거부한 보험회사에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=688&VA=content,https://datalaw.kr/mediation/#m-688
418,2014,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,개인정보 처리정지 요구에 대하여 적절한 조치를 취하지 않은 도시가스회사에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=687&VA=content,https://datalaw.kr/mediation/#m-687
419,2014,조정결정사례,열람·정정·삭제·처리정지·동의철회 요구 불응,영상정보처리기기의 열람요청을 거부한 어린이집에 대한 제도 개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=686&VA=content,https://datalaw.kr/mediation/#m-686
420,2014,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,내부직원에 의하여 개인정보를 유출한 인력파견 회사에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=685&VA=content,https://datalaw.kr/mediation/#m-685
421,2014,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,기술적·관리적 조치 미비로 개인정보를 유출시킨 이러닝 사업자에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=684&VA=content,https://datalaw.kr/mediation/#m-684
422,2014,조정결정사례,개인정보보호 기술적·관리적·물리적 조치미비,기술적·관리적 조치 미비로 개인정보를 유출시킨 온라인 쇼핑몰에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=683&VA=content,https://datalaw.kr/mediation/#m-683
423,2014,조정결정사례,보유기간 경과나 목적달성 후 개인정보 미파기,개인정보 파기 요구를 거부한 아파트 관리사무소에 대한 제도 개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=682&VA=content,https://datalaw.kr/mediation/#m-682
424,2014,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,동의 없이 개인정보를 제3자에게 제공한 종합식품업체에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=681&VA=content,https://datalaw.kr/mediation/#m-681
425,2014,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 동의 없이 제3자에게 제공한 유통사업자에 대한 손해배상 요구,100만 원,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=680&VA=content,https://datalaw.kr/mediation/#m-680
426,2014,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,수집 목적 달성 후 보관 목적 외로 개인정보를 이용한 이동통신사업자에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=679&VA=content,https://datalaw.kr/mediation/#m-679
427,2014,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,정보주체의 수신거부 요구에도 개인정보를 영업목적으로 이용한 종합 유선방송 사업자에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=678&VA=content,https://datalaw.kr/mediation/#m-678
428,2014,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 이용하여 광고성 문자메시지를 발송한 보험회사에 대한 손해배상 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=677&VA=content,https://datalaw.kr/mediation/#m-677
429,2014,조정결정사례,수집한 목적 외 이용 또는 제3자 제공,개인정보를 수집목적 외로 이용한 부동산 신탁회사에 대한 손해배상 및 제도개선 요구,,,,,https://www.kopico.go.kr/mng/exammngMain.do#AC=/mng/exammngDetail.do?seq_no=676&VA=content,https://datalaw.kr/mediation/#m-676
